Walmart,walmart,"Wal-Mart Stores, Inc.",WMT,guess
Exxon Mobil,exxon mobil,Exxon Mobil Corporation,XOM,
Apple,apple,Apple Inc.,AAPL,
Berkshire Hathaway,berkshire hathaway,Berkshire Hathaway Inc. Class B,BRK.B,
McKesson,mckesson,McKesson Corporation,MCK,
UnitedHealth Group,unitedhealth,UnitedHealth Group Incorporated,UNH,
CVS Health,cvs health,CVS Health Corporation,CVS,
General Motors,general motors,General Motors Company,GM,
Ford Motor,ford motor,Ford Motor Company,F,
AT&T,att,AT&T Inc.,T,
General Electric,general electric,General Electric Company,GE,
AmerisourceBergen,amerisourcebergen,AmerisourceBergen Corporation,ABC,
Verizon,verizon,Verizon Communications Inc.,VZ,guess
Chevron,chevron,Chevron Corporation,CVX,
Costco,costco,Costco Wholesale Corporation,COST,guess
Fannie Mae,fannie mae,fannie mae,FNMA,abbrev
Kroger,kroger,Kroger Co.,KR,
Amazon.com,amazoncom,"Amazon.com, Inc.",AMZN,
Walgreens Boots Alliance,walgreens boots alliance,Walgreens Boots Alliance Inc,WBA,
HP,hp,HP Inc.,HPQ,
Cardinal Health,cardinal health,"Cardinal Health, Inc.",CAH,
Express Scripts Holding,express scripts,Express Scripts Holding Company,ESRX,
J.P. Morgan Chase,jp morgan chase,J.P. Morgan & Co. Incorporated,JPM.Z,guess
Boeing,boeing,Boeing Company,BA,
Microsoft,microsoft,Microsoft Corporation,MSFT,
Bank of America Corp.,bank of america,Bank of America Corporation,BAC,
Wells Fargo,wells fargo,Wells Fargo & Company,WFC.Z,
Home Depot,home depot,"Home Depot, Inc.",HD,
Citigroup,citigroup,Citigroup Inc,C,
Phillips 66,phillips 66,Phillips 66 Partners LP,PSXP,
IBM,ibm,ibm,IBM,abbrev
Valero Energy,valero energy,Valero Energy Partners LP,VLP,
Anthem,anthem,"Anthem, Inc.",ANTM,
Procter & Gamble,procter gamble,Procter & Gamble Company,PG,
State Farm Insurance Cos.,state farm insurance cos,,,NONE FOUND
Alphabet,alphabet,Alphabet Inc. Class C,GOOG,
Comcast,comcast,Comcast Corporation Class A,CMCSA,
Target,target,Target Corporation,TGT,
Johnson & Johnson,johnson johnson,Johnson & Johnson,JNJ,
MetLife,metlife,"MetLife, Inc.",MET,
Archer Daniels Midland,archer daniels midland,,,NONE FOUND
Marathon Petroleum,marathon petroleum,Marathon Petroleum Corporation,MPC,
Freddie Mac,freddie mac,freddie mac,FMCC,abbrev
PepsiCo,pepsico,"PepsiCo, Inc.",PEP,
United Technologies,united,United Technologies Corporation,UTX,
Aetna,aetna,Aetna Inc.,AET,
Lowes,lowes,"Lowe's Companies, Inc.",LOW,guess
UPS,ups,ups,UPS,abbrev
AIG,aig,aig,AIG,abbrev
Prudential Financial,prudential financial,"Prudential Financial, Inc.",PRU,
Intel,intel,Intel Corporation,INTC,
Humana,humana,Humana Inc.,HUM,
Disney,disney,Walt Disney Company,DIS,guess
Cisco Systems,cisco systems,"Cisco Systems, Inc.",CSCO,
Pfizer,pfizer,Pfizer Inc.,PFE,
Dow Chemical,dow chemical,Dow Chemical Company,DOW,
Sysco,sysco,Sysco Corporation,SYY,
FedEx,fedex,FedEx Corporation,FDX,
Caterpillar,caterpillar,Caterpillar Inc.,CAT,
Lockheed Martin,lockheed martin,Lockheed Martin Corporation,LMT,
New York Life Insurance,new york life insurance,,,NONE FOUND
Coca-Cola,cocacola,Coca-Cola Company,KO,
HCA Holdings,hca,HCA Inc.,HCA.2,
Ingram Micro,ingram micro,Ingram Micro Inc. Class A,IM,
Energy Transfer Equity,energy transfer equity,"Energy Transfer Equity, L.P.",ETE,
Tyson Foods,tyson foods,"Tyson Foods, Inc. Class A",TSN,
American Airlines Group,american airlines,"American Airlines Group, Inc.",AAL,
Delta Air Lines,delta air lines,"Delta Air Lines, Inc.",DAL,
Nationwide,nationwide,Nationwide Financial Services Inc.,NFS,guess
Johnson Controls,johnson controls,"Johnson Controls, Inc.",247680,
Best Buy,best buy,"Best Buy Co., Inc.",BBY,
Merck,merck,"Merck & Co., Inc.",MRK,
Liberty Mutual Insurance Group,liberty mutual insurance,,,NONE FOUND
Goldman Sachs Group,goldman sachs,"Goldman Sachs Group, Inc.",GS,
Honeywell International,honeywell international,Honeywell International Inc.,HON,
Massachusetts Mutual Life Insurance,massachusetts mutual life insurance,,,NONE FOUND
Oracle,oracle,Oracle Corporation,ORCL,
Morgan Stanley,morgan stanley,Morgan Stanley Group Inc.,MS.D,
Cigna,cigna,Cigna Corporation,CI,
United Continental Holdings,united continental,"United Continental Holdings, Inc.",UAL,
Allstate,allstate,Allstate Corporation,ALL,
TIAA,tiaa,,,NONE FOUND
INTL FCStone,intl fcstone,INTL FCStone Inc.,INTL,
CHS,chs,,,NONE FOUND
American Express,american express,American Express Company,AXP,
Gilead Sciences,gilead sciences,"Gilead Sciences, Inc.",GILD,
Publix Super Markets,publix super markets,,,NONE FOUND
General Dynamics,general dynamics,General Dynamics Corporation,GD,
TJX,tjx,TJX Co. Inc.,TJX.,
ConocoPhillips,conocophillips,ConocoPhillips,COP,
Nike,nike,"NIKE, Inc. Class B",NKE,
World Fuel Services,world fuel services,World Fuel Services Corporation,INT,
3M,3m,3M Company,MMM,
Mondelez International,mondelez international,"Mondelez International, Inc. Class A",MDLZ,
Exelon,exelon,Exelon Corporation,EXC,
Twenty-First Century Fox,twentyfirst century fox,"Twenty-First Century Fox, Inc. Class B",FOX,
Deere,deere,Deere & Company,DE,
Tesoro,tesoro,Tesoro Corporation,TSO,
Time Warner,time warner,Time Warner Inc.,TWX,
Northwestern Mutual,northwestern mutual,,,NONE FOUND
DuPont,dupont,"DuPont Photomasks, Inc.",DPMI,guess
Avnet,avnet,"Avnet, Inc.",AVT,
Macys,macys,Macy's Inc,M,
Enterprise Products Partners,enterprise products,Enterprise Products Partners L.P.,EPD,
Travelers Cos.,travelers cos,,,NONE FOUND
Philip Morris International,philip morris international,Philip Morris International Inc.,PM,
Rite Aid,rite aid,Rite Aid Corporation,RAD,
Tech Data,tech data,Tech Data Corporation,TECD,
McDonalds,mcdonalds,McDonald's Corporation,MCD,
Qualcomm,qualcomm,QUALCOMM Incorporated,QCOM,
Sears Holdings,sears,Sears Holdings Corporation,SHLD,
Capital One Financial,capital one financial,Capital One Financial Corporation,COF,
EMC,emc,EMC Corporation,EMC,
USAA,usaa,,,NONE FOUND
Duke Energy,duke energy,Duke Energy Corporation,DUK,
Time Warner Cable,time warner cable,Time Warner Cable Inc.,TWC,
Halliburton,halliburton,Halliburton Company,HAL,
Northrop Grumman,northrop grumman,Northrop Grumman Corporation,NOC,
Arrow Electronics,arrow electronics,"Arrow Electronics, Inc.",ARW,
Raytheon,raytheon,Raytheon Company,RTN.A,
Plains GP Holdings,plains gp,Plains GP Holdings LP Class A,PAGP,
US Foods Holding,us foods,US Foods Holding Corp.,USFD,
AbbVie,abbvie,"AbbVie, Inc.",ABBV,
Centene,centene,Centene Corporation,CNC,
Community Health Systems,community health systems,"Community Health Systems, Inc.",CYH.D,
Alcoa,alcoa,Alcoa Corp.,AA,
International Paper,international paper,International Paper Company,IP,
Emerson Electric,emerson electric,Emerson Electric Co.,EMR,
Union Pacific,union pacific,Union Pacific Corporation,UNP,
Amgen,amgen,Amgen Inc.,AMGN,
U.S. Bancorp,us bancorp,U.S. Bancorp,USBC.,
Staples,staples,"Staples, Inc.",SPLS,
Danaher,danaher,Danaher Corporation,DHR,
Whirlpool,whirlpool,Whirlpool Corporation,WHR,
Aflac,aflac,Aflac Incorporated,AFL,
AutoNation,autonation,"AutoNation, Inc.",AN,
Progressive,progressive,Progressive Corporation,PGR,
Abbott Laboratories,abbott laboratories,Abbott Laboratories,ABT,
Dollar General,dollar general,Dollar General Corporation,DG,
Tenet Healthcare,tenet healthcare,Tenet Healthcare Corporation,THC,
Eli Lilly,eli lilly,Eli Lilly and Company,LLY,guess
Southwest Airlines,southwest airlines,Southwest Airlines Co.,LUV,
Penske Automotive Group,penske automotive,"Penske Automotive Group, Inc.",PAG,
ManpowerGroup,manpowergroup,ManpowerGroup Inc.,MAN,
Kohls,kohls,Kohl's Corporation,KSS,
Starbucks,starbucks,Starbucks Corporation,SBUX,
Paccar,paccar,PACCAR Inc,PCAR,
Cummins,cummins,Cummins Inc.,CMI,
Altria Group,altria,"Altria Group, Inc.",MO,
Xerox,xerox,Xerox Corporation,XRX,
Kimberly-Clark,kimberlyclark,Kimberly-Clark Corporation,KMB,
Hartford Financial Services Group,hartford financial services,"Hartford Financial Services Group, Inc.",HIG,
Kraft Heinz,kraft heinz,Kraft Heinz Company,KHC,
Lear,lear,Lear Corporation,LEA,
Fluor,fluor,Fluor Corporation,FLR,
AECOM,aecom,AECOM,ACM,
Facebook,facebook,"Facebook, Inc. Class A",FB,
Jabil Circuit,jabil circuit,"Jabil Circuit, Inc.",JBL,
CenturyLink,centurylink,"CenturyLink, Inc.",CTL,
Supervalu,supervalu,SUPERVALU INC.,SVU,
General Mills,general mills,"General Mills, Inc.",GIS,
Southern,southern,Southern Company,SO,
NextEra Energy,nextera energy,"NextEra Energy, Inc.",NEE,
Thermo Fisher Scientific,thermo fisher scientific,Thermo Fisher Scientific Inc.,TMO,
American Electric Power,american electric power,"American Electric Power Company, Inc.",AEP,
PG&E Corp.,pge,PG&E Corporation,PCG,
NGL Energy Partners,ngl energy,NGL Energy Partners LP,NGL,
Bristol-Myers Squibb,bristolmyers squibb,Bristol-Myers Squibb Company,BMY,
Goodyear Tire & Rubber,goodyear tire rubber,Goodyear Tire & Rubber Company,GT,
Nucor,nucor,Nucor Corporation,NUE,
PNC Financial Services Group,pnc financial services,"PNC Financial Services Group, Inc.",PNC,
Health Net,health net,"Health Net, Inc.",HNT,
Micron Technology,micron technology,"Micron Technology, Inc.",MU,
Colgate-Palmolive,colgatepalmolive,Colgate-Palmolive Company,CL,
Freeport-McMoRan,freeportmcmoran,"Freeport-McMoRan, Inc.",FCX,
ConAgra Foods,conagra foods,,,NONE FOUND
Gap,gap,"Gap, Inc.",GPS,
Baker Hughes,baker hughes,Baker Hughes Incorporated,BHI,
Bank of New York Mellon Corp.,bank of new york mellon,Bank of New York Mellon Corporation,BK,
Dollar Tree,dollar tree,"Dollar Tree, Inc.",DLTR,
Whole Foods Market,whole foods market,"Whole Foods Market, Inc.",WFM,
PPG Industries,ppg,"PPG Industries, Inc.",PPG,
Genuine Parts,genuine parts,Genuine Parts Company,GPC,
Icahn Enterprises,icahn enterprises,Icahn Enterprises L.P.,IEP,
Performance Food Group,performance food,Performance Food Group Company,PFGC,
Omnicom Group,omnicom,Omnicom Group Inc,OMC,
DISH Network,dish network,DISH Network Corporation Class A,DISH,
FirstEnergy,firstenergy,FirstEnergy Corp.,FE,
Monsanto,monsanto,Monsanto Company,MON,
AES,aes,AES Corporation,AES,
CarMax,carmax,"CarMax, Inc.",KMX,
National Oilwell Varco,national oilwell varco,"National Oilwell Varco, Inc.",NOV,
NRG Energy,nrg energy,"NRG Energy, Inc.",NRG.D,
Western Digital,western digital,Western Digital Corporation,WDC,
Marriott International,marriott international,"Marriott International, Inc. Class A",MAR,
Office Depot,office depot,"Office Depot, Inc.",ODP,
Nordstrom,nordstrom,"Nordstrom, Inc.",JWN,
Kinder Morgan,kinder morgan,Kinder Morgan Inc.,KMI.1,
Aramark,aramark,ARAMARK Corporation,RMK,
DaVita HealthCare Partners,davita healthcare,,,NONE FOUND
Molina Healthcare,molina healthcare,"Molina Healthcare, Inc.",MOH,
WellCare Health Plans,wellcare health plans,"WellCare Health Plans, Inc.",WCG,
CBS,cbs,CBS Inc.,CBS.1,
Visa,visa,Visa Inc. Class A,V,
Lincoln National,lincoln national,Lincoln National Corporation,LNC,
Ecolab,ecolab,Ecolab Inc.,ECL,
Kellogg,kellogg,Kellogg Company,K,
C.H. Robinson Worldwide,ch robinson worldwide,"C.H. Robinson Worldwide, Inc.",CHRW,
Textron,textron,Textron Inc.,TXT,
Loews,loews,Loews Corporation,L,
Illinois Tool Works,illinois tool works,Illinois Tool Works Inc.,ITW,
Synnex,synnex,SYNNEX Corporation,SNX,
Viacom,viacom,Viacom Inc. Class B,VIAB,
HollyFrontier,hollyfrontier,HollyFrontier Corporation,HFC,
Land OLakes,land olakes,,,NONE FOUND
Devon Energy,devon energy,Devon Energy Corporation,DVN,
PBF Energy,pbf energy,"PBF Energy, Inc. Class A",PBF,
Yum Brands,yum brands,"Yum! Brands, Inc.",YUM,
Texas Instruments,texas instruments,Texas Instruments Incorporated,TXN,
CDW,cdw,CDW Corp.,CDWC,
Waste Management,waste management,"Waste Management, Inc.",WM,
Marsh & McLennan,marsh mclennan,"Marsh & McLennan Companies, Inc.",MMC,guess
Chesapeake Energy,chesapeake energy,Chesapeake Energy Corporation,CHK,
Parker-Hannifin,parkerhannifin,Parker-Hannifin Corporation,PH,
Occidental Petroleum,occidental petroleum,Occidental Petroleum Corporation,OXY,
Guardian Life Ins. Co. of America,guardian life ins of america,,,NONE FOUND
Farmers Insurance Exchange,farmers insurance exchange,,,NONE FOUND
J.C. Penney,jc penney,,,NONE FOUND
Consolidated Edison,consolidated edison,"Consolidated Edison, Inc.",ED,
Cognizant Technology Solutions,cognizant technology solutions,Cognizant Technology Solutions Corporation Class A,CTSH,
VF,vf,V.F. Corporation,VFC,
Ameriprise Financial,ameriprise financial,"Ameriprise Financial, Inc.",AMP,
Computer Sciences,computer sciences,Computer Sciences Corporation,CSC,
L Brands,l brands,"L Brands, Inc.",LB,
Jacobs Engineering Group,jacobs engineering,Jacobs Engineering Group Inc.,JEC,
Principal Financial,principal financial,"Principal Financial Group, Inc.",PFG,
Ross Stores,ross stores,"Ross Stores, Inc.",ROST,
Bed Bath & Beyond,bed bath beyond,Bed Bath & Beyond Inc.,BBBY,
CSX,csx,CSX Corporation,CSX,
Toys R Us,toys r us,Toys R Us Inc.,TOY,
Las Vegas Sands,las vegas sands,Las Vegas Sands Corp.,LVS,
Leucadia National,leucadia national,Leucadia National Corporation,LUK,
Dominion Resources,dominion resources,"Dominion Resources, Inc.",D,
United States Steel,united states steel,United States Steel Corporation,X,
L-3 Communications,l3 communications,"L3 Technologies, Inc.",LLL,guess
Edison International,edison international,Edison International,EIX,
Entergy,entergy,Entergy Corporation,ETR,
ADP,adp,adp,ADP,abbrev
First Data,first data,First Data Corporation Class A,FDC,
BlackRock,blackrock,"BlackRock, Inc.",BLK,
WestRock,westrock,WestRock Co.,WRK,
Voya Financial,voya financial,"Voya Financial, Inc.",VOYA,
Sherwin-Williams,sherwinwilliams,Sherwin-Williams Company,SHW,
Hilton Worldwide Holdings,hilton worldwide,"Hilton Worldwide Holdings, Inc.",HLT,
R.R. Donnelley & Sons,rr donnelley sons,R.R. Donnelley & Sons Company,RRD,
Stanley Black & Decker,stanley black decker,"Stanley Black & Decker, Inc.",SWK,
Xcel Energy,xcel energy,Xcel Energy Inc.,XEL,
Murphy USA,murphy usa,"Murphy USA, Inc.",MUSA,
CBRE Group,cbre,"CBRE Group, Inc. Class A",CBG,
D.R. Horton,dr horton,"D.R. Horton, Inc.",DHI,
Estee Lauder,estee lauder,Estee Lauder Companies Inc. Class A,EL,guess
Praxair,praxair,"Praxair, Inc.",PX,
Biogen,biogen,Biogen Inc.,BIIB,
State Street Corp.,state street,State Street Corporation,STT,
