Walmart,walmart,"Wal-Mart Stores, Inc.",WMT,guess
Unum Group,unum,Unum Group,UNM,
Reynolds American,reynolds american,Reynolds American Inc.,RAI,
Group 1 Automotive,1 automotive,"Group 1 Automotive, Inc.",GPI,
Henry Schein,henry schein,"Henry Schein, Inc.",HSIC,
Hertz Global Holdings,hertz global,"Hertz Global Holdings, Inc.",HTZ,
Norfolk Southern,norfolk southern,Norfolk Southern Corporation,NSC,
Reinsurance Group of America,reinsurance of america,"Reinsurance Group of America, Incorporated",RGA,
Public Service Enterprise Group,public service enterprise,Public Service Enterprise Group Inc,PEG,
BB&T Corp.,bbt,BB&T Corporation,BBT,
DTE Energy,dte energy,DTE Energy Company,DTE,
Assurant,assurant,"Assurant, Inc.",AIZ,
Global Partners,global,Global Partners LP,GLP,
Huntsman,huntsman,Huntsman Corporation,HUN,
Becton Dickinson,becton dickinson,"Becton, Dickinson and Company",BDX,guess
Sempra Energy,sempra energy,Sempra Energy,SRE,
AutoZone,autozone,"AutoZone, Inc.",AZO,
Navistar International,navistar international,Navistar International Corporation,NAV,
Precision Castparts,precision castparts,Precision Castparts Corp.,PCP,
Discover Financial Services,discover financial services,Discover Financial Services,DFS,
Liberty Interactive,liberty interactive,Liberty Interactive Corporation Class B,LVNTB,
W.W. Grainger,ww grainger,"W.W. Grainger, Inc.",GWW,
Baxter International,baxter international,Baxter International Inc.,BAX,
Stryker,stryker,Stryker Corporation,SYK,
Air Products & Chemicals,air products chemicals,"Air Products and Chemicals, Inc.",APD,guess
Western Refining,western refining,"Western Refining, Inc.",WNR,
Universal Health Services,universal health services,"Universal Health Services, Inc. Class B",UHS,
Owens & Minor,owens minor,"Owens & Minor, Inc.",OMI,
Charter Communications,charter communications,"Charter Communications, Inc. Class A",CHTR,
Advance Auto Parts,advance auto parts,"Advance Auto Parts, Inc.",AAP,
MasterCard,mastercard,Mastercard Incorporated Class A,MA,
Applied Materials,applied materials,"Applied Materials, Inc.",AMAT,
Eastman Chemical,eastman chemical,Eastman Chemical Company,EMN,
Sonic Automotive,sonic automotive,"Sonic Automotive, Inc. Class A",SAH,
Ally Financial,ally financial,Ally Financial Inc,ALLY,
CST Brands,cst brands,"CST Brands, Inc.",CST,
eBay,ebay,eBay Inc.,EBAY,
Lennar,lennar,Lennar Corporation Class B,LEN.B,
GameStop,gamestop,GameStop Corp. Class A,GME,
Reliance Steel & Aluminum,reliance steel aluminum,Reliance Steel & Aluminum Co.,RS,
Hormel Foods,hormel foods,Hormel Foods Corporation,HRL,
Celgene,celgene,Celgene Corporation,CELG,
Genworth Financial,genworth financial,"Genworth Financial, Inc. Class A",GNW,
PayPal Holdings,paypal,"PayPal, Inc.",PYPL.1,
Priceline Group,priceline,Priceline Group Inc,PCLN,
MGM Resorts International,mgm resorts international,MGM Resorts International,MGM,
Autoliv,autoliv,Autoliv Inc.,ALV,
Fidelity National Financial,fidelity national financial,Fidelity National Financial Inc.,FNF.1,
Republic Services,republic services,"Republic Services, Inc.",RSG,
Corning,corning,Corning Inc,GLW,
Peter Kiewit Sons,peter kiewit sons,,,NONE FOUND
Univar,univar,"Univar, Inc.",UNVR,
Mosaic,mosaic,Mosaic Company,MOS,
Core-Mark Holding,coremark,"Core-Mark Holding Company, Inc.",CORE,
Thrivent Financial for Lutherans,thrivent financial for lutherans,,,NONE FOUND
Cameron International,cameron international,Cameron International Corporation,CAM,
HD Supply Holdings,hd supply,"HD Supply Holdings, Inc.",HDS,
Crown Holdings,crown,"Crown Holdings, Inc.",CCK,
EOG Resources,eog resources,"EOG Resources, Inc.",EOG,
Veritiv,veritiv,Veritiv Corp,VRTV,
Anadarko Petroleum,anadarko petroleum,Anadarko Petroleum Corporation,APC,
Laboratory Corp. of America,laboratory of america,Laboratory Corporation of America Holdings,LH,
Pacific Life,pacific life,,,NONE FOUND
News Corp.,news,News Corporation Class B,NWS,
Jarden,jarden,Jarden Corporation,JAH,
SunTrust Banks,suntrust banks,"SunTrust Banks, Inc.",STI,
Avis Budget Group,avis budget,"Avis Budget Group, Inc.",CAR,
Broadcom,broadcom,Broadcom Limited,AVGO,
American Family Insurance Group,american family insurance,American National Insurance Company,ANAT,guess
Level 3 Communications,level 3 communications,"Level 3 Communications, Inc.",LVLT,
Tenneco,tenneco,Tenneco Inc.,TEN,
United Natural Foods,united natural foods,"United Natural Foods, Inc.",UNFI,
Dean Foods,dean foods,Dean Foods Company,DF.1,
Campbell Soup,campbell soup,Campbell Soup Company,CPB,
Mohawk Industries,mohawk,"Mohawk Industries, Inc.",MHK,
BorgWarner,borgwarner,BorgWarner Inc.,BWA,
PVH,pvh,PVH Corp.,PVH,
Ball,ball,Ball Corporation,BLL,
OReilly Automotive,oreilly automotive,"O'Reilly Automotive, Inc.",ORLY,
Eversource Energy,eversource energy,Eversource Energy,ES,
Franklin Resources,franklin resources,"Franklin Resources, Inc.",BEN,
Masco,masco,Masco Corporation,MAS,
Lithia Motors,lithia motors,"Lithia Motors, Inc. Class A",LAD,
KKR,kkr,KKR & Co. L.P.,KKR,
Oneok,oneok,"ONEOK, Inc.",OKE,
Newmont Mining,newmont mining,Newmont Mining Corporation,NEM,
PPL,ppl,PPL Corporation,PPL,
SpartanNash,spartannash,SpartanNash Company,SPTN,
Quanta Services,quanta services,"Quanta Services, Inc.",PWR,
XPO Logistics,xpo logistics,"XPO Logistics, Inc.",XPO,
Ralph Lauren,ralph lauren,Ralph Lauren Corporation Class A,RL,
Interpublic Group,interpublic,"Interpublic Group of Companies, Inc.",IPG,guess
Steel Dynamics,steel dynamics,"Steel Dynamics, Inc.",STLD,
WESCO International,wesco international,"WESCO International, Inc.",WCC,
Quest Diagnostics,quest diagnostics,Quest Diagnostics Incorporated,DGX,
Boston Scientific,boston scientific,Boston Scientific Corporation,BSX,
AGCO,agco,AGCO Corporation,AGCO,
Foot Locker,foot locker,"Foot Locker, Inc.",FL,
Hershey,hershey,Hershey Company,HSY,
CenterPoint Energy,centerpoint energy,"CenterPoint Energy, Inc.",CNP,
Williams,williams,"Williams Partners, L.P.",WPZ,
Dicks Sporting Goods,dicks sporting goods,"Dick's Sporting Goods, Inc.",DKS,
Live Nation Entertainment,live nation entertainment,"Live Nation Entertainment, Inc.",LYV,
Mutual of Omaha Insurance,mutual of omaha insurance,,,NONE FOUND
W.R. Berkley,wr berkley,,,NONE FOUND
LKQ,lkq,LKQ Corporation,LKQ,
Avon Products,avon products,"Avon Products, Inc.",AVP,
Darden Restaurants,darden restaurants,"Darden Restaurants, Inc.",DRI,
Kindred Healthcare,kindred healthcare,"Kindred Healthcare, Inc.",KND,
Weyerhaeuser,weyerhaeuser,Weyerhaeuser Company,WY,
Caseys General Stores,caseys general stores,"Casey's General Stores, Inc.",CASY,
Sealed Air,sealed air,Sealed Air Corporation,SEE,
Fifth Third Bancorp,fifth third bancorp,Fifth Third Bancorp,FITB,
Dover,dover,Dover Corporation,DOV,
Huntington Ingalls Industries,huntington ingalls,"Huntington Ingalls Industries, Inc.",HII,
Netflix,netflix,"Netflix, Inc.",NFLX,
Dillards,dillards,"Dillard's, Inc. Class A",DDS,
EMCOR Group,emcor,"EMCOR Group, Inc.",EME,
Jones Financial,jones financial,"Jones Spacelink, Ltd.",SPLKA,guess
AK Steel Holding,ak steel,AK Steel Holding Corporation,AKS,
UGI,ugi,UGI Corporation,UGI,
Expedia,expedia,"Expedia, Inc.",EXPE.,
salesforce.com,salesforcecom,"salesforce.com, inc.",CRM,
Targa Resources,targa resources,Targa Resources Partners LP,NGLS,
Apache,apache,Apache Corporation,APA,
Spirit AeroSystems Holdings,spirit aerosystems,"Spirit AeroSystems Holdings, Inc. Class A",SPR,
Expeditors International of Washington,expeditors international of washington,"Expeditors International of Washington, Inc.",EXPD,
Anixter International,anixter international,Anixter International Inc.,AXE,
Fidelity National Information Services,fidelity national information services,"Fidelity National Information Services, Inc.",FIS,
Asbury Automotive Group,asbury automotive,"Asbury Automotive Group, Inc.",ABG,
Hess,hess,Hess Corporation,HES,
Ryder System,ryder system,"Ryder System, Inc.",R,
Terex,terex,Terex Corporation,TEX,
Coca-Cola European Partners,cocacola european,Coca-Cola European Partners Plc,CCE,
Auto-Owners Insurance,autoowners insurance,,,NONE FOUND
Cablevision Systems,cablevision systems,Cablevision Systems Corporation Class A,CVC,
Symantec,symantec,Symantec Corporation,SYMC,
Charles Schwab,charles schwab,Charles Schwab Corporation,SCHW,
Calpine,calpine,Calpine Corporation,CPN,
CMS Energy,cms energy,CMS Energy Corporation,CMS,
Alliance Data Systems,alliance data systems,Alliance Data Systems Corporation,ADS,
JetBlue Airways,jetblue airways,JetBlue Airways Corporation,JBLU,
Discovery Communications,discovery communications,"Discovery Communications, Inc. Class C",DISCK,
Trinity Industries,trinity,"Trinity Industries, Inc.",TRN,
Sanmina,sanmina,,,NONE FOUND
NCR,ncr,NCR Corporation,NCR.D,
FMC Technologies,fmc,"FMC Technologies, Inc.",FTI.1,
Erie Insurance Group,erie insurance,,,NONE FOUND
Rockwell Automation,rockwell automation,"Rockwell Automation, Inc.",ROK,
Dr Pepper Snapple Group,dr pepper snapple,"Dr Pepper Snapple Group, Inc.",DPS,
iHeartMedia,iheartmedia,,,NONE FOUND
Tractor Supply,tractor supply,Tractor Supply Company,TSCO,
J.B. Hunt Transport Services,jb hunt transport services,"J.B. Hunt Transport Services, Inc.",JBHT,
Commercial Metals,commercial metals,Commercial Metals Company,CMC,
Owens-Illinois,owensillinois,"Owens-Illinois, Inc.",OI.1,
Harman International Industries,harman international,"Harman International Industries, Incorporated",HAR,
Baxalta,baxalta,"Baxalta, Inc.",BXLT,
American Financial Group,american financial,"American Financial Holdings, Inc.",AMFH,
NetApp,netapp,"NetApp, Inc.",NTAP,
Graybar Electric,graybar electric,,,NONE FOUND
Oshkosh,oshkosh,Oshkosh Corp,OSK,
Ameren,ameren,Ameren Corporation,AEE,
A-Mark Precious Metals,amark precious metals,"A-Mark Precious Metals, Inc.",AMRK,
Barnes & Noble,barnes noble,"Barnes & Noble, Inc.",BKS,
Dana Holding,dana,Dana Incorporated,DAN,
Constellation Brands,constellation brands,"Constellation Brands, Inc. Class B",STZ.B,
LifePoint Health,lifepoint health,"LifePoint Health, Inc.",LPNT,
Zimmer Biomet Holdings,zimmer biomet,"Zimmer Biomet Holdings, Inc.",ZBH,
Harley-Davidson,harleydavidson,"Harley-Davidson, Inc.",HOG,
PulteGroup,pultegroup,"PulteGroup, Inc.",PHM,
Newell Brands,newell brands,Newell Brands Inc,NWL,
Avery Dennison,avery dennison,Avery Dennison Corporation,AVY,
Jones Lang LaSalle,jones lang lasalle,Jones Lang LaSalle Incorporated,JLL,
WEC Energy Group,wec energy,WEC Energy Group Inc,WEC,
Marathon Oil,marathon oil,Marathon Oil Corporation,MRO,
TravelCenters of America,travelcenters of america,TravelCenters of America LLC,TA,guess
United Rentals,united rentals,"United Rentals, Inc.",URI,
HRG Group,hrg,"HRG Group, Inc.",HRG,
Old Republic International,old republic international,Old Republic International Corporation,ORI,
Windstream Holdings,windstream,"Windstream Holdings, Inc.",WIN,
Starwood Hotels & Resorts,starwood hotels resorts,"Starwood Hotels & Resorts Worldwide, Inc.",HOT,guess
Delek US Holdings,delek us,"Delek US Holdings, Inc.",DK,
Packaging Corp. of America,packaging of america,Packaging Corporation of America,PKG,
Quintiles Transnational Holdings,quintiles transnational,Quintiles Transnational Corp.,QTRN,
Hanesbrands,hanesbrands,Hanesbrands Inc.,HBI,
Realogy Holdings,realogy,Realogy Holdings Corp.,RLGY,
Mattel,mattel,"Mattel, Inc.",MAT,
Motorola Solutions,motorola solutions,"Motorola Solutions, Inc.",MSI,
J.M. Smucker,jm smucker,,,NONE FOUND
Regions Financial,regions financial,Regions Financial Corporation,RF,
Celanese,celanese,Celanese Corporation Class A,CE,
Clorox,clorox,Clorox Company,CLX,
Ingredion,ingredion,Ingredion Incorporated,INGR,
Genesis Healthcare,genesis healthcare,Genesis Healthcare Inc Class A,GEN,
Peabody Energy,peabody energy,Peabody International Corp,PBD.1,guess
Alaska Air Group,alaska air,"Alaska Air Group, Inc.",ALK,
Seaboard,seaboard,,,NONE FOUND
Frontier Communications,frontier communications,Frontier Communications Corporation,FTR,
Amphenol,amphenol,Amphenol Corporation Class A,APH,
Lansing Trade Group,lansing trade,,,NONE FOUND
SanDisk,sandisk,SanDisk Corporation,SNDK,
St. Jude Medical,st jude medical,"St. Jude Medical, Inc.",STJ,
Wyndham Worldwide,wyndham worldwide,Wyndham Worldwide Corporation,WYN,
Kelly Services,kelly services,"Kelly Services, Inc. Class B",KELYB,
Western Union,western union,Western Union Corporation,SVXHJK-R,
Envision Healthcare Holdings,envision healthcare,"Envision Healthcare Holdings, Inc.",EVHC.1,
Visteon,visteon,Visteon Corporation,VC,
Arthur J. Gallagher,arthur j gallagher,Arthur J. Gallagher & Co.,AJG,
Host Hotels & Resorts,host hotels resorts,"Host Hotels & Resorts, Inc.",HST,
Ashland,ashland,"Ashland Global Holdings, Inc.",ASH,guess
Insight Enterprises,insight enterprises,"Insight Enterprises, Inc.",NSIT,
Energy Future Holdings,energy future,Future Now Incorporated,FNOW,guess
Markel,markel,Markel Corporation,MKL,
Essendant,essendant,Essendant Inc.,ESND,
CH2M Hill,ch2m hill,,,NONE FOUND
Western & Southern Financial Group,western southern financial,,,NONE FOUND
Owens Corning,owens corning,Owens Corning,OC,
S&P Global,sp global,"S&P Global, Inc.",SPGI,
Raymond James Financial,raymond james financial,"Raymond James Financial, Inc.",RJF,
NiSource,nisource,NiSource Inc,NI,
Airgas,airgas,"Airgas, Inc.",ARG,
ABM Industries,abm,ABM Industries Incorporated,ABM,
Citizens Financial Group,citizens financial,"Citizens Financial Group, Inc.",CFG,
Booz Allen Hamilton Holding,booz allen hamilton,Booz Allen Hamilton Holding Corporation Class A,BAH,
Simon Property Group,simon property,"Simon Property Group, Inc.",SPG,
Domtar,domtar,Domtar Corporation,UFS,
Rockwell Collins,rockwell collins,"Rockwell Collins, Inc.",COL,
Lam Research,lam research,Lam Research Corporation,LRCX,
Fiserv,fiserv,"Fiserv, Inc.",FISV,
Spectra Energy,spectra energy,"Spectra Energy Partners, LP",SEP,
Navient,navient,Navient Corp,NAVI,
Big Lots,big lots,"Big Lots, Inc.",BIG,
Telephone & Data Systems,telephone data systems,Telephone & Data Systems - Special,TDS.S,guess
First American Financial,first american financial,First American Financial Corporation,FAMRB,
NVR,nvr,"NVR, Inc.",NVR,
Cincinnati Financial,cincinnati financial,Cincinnati Financial Corporation,CINF,
Burlington Stores,burlington stores,"Burlington Stores, Inc.",BURL,
